                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 1.5071,                 2.3433,                 1.5484,                 1.6883,                0.37824,                    0.5,                0.39155,                0.21151,                0.37824,                    0.5,                0.39155,                0.21477,                  2.084,                 2.6172,                 2.0434,                  2.378,              0.0003368,              0.0003368,              0.0003368
                     87,                  1.443,                 2.1056,                 1.3836,                 1.6251,                0.36207,                  0.625,                 0.4257,                0.21393,                0.36207,                  0.625,                 0.4257,                  0.224,                 2.0152,                 2.6239,                 1.9828,                 2.3423,               0.000317,               0.000317,               0.000317
                     88,                 1.3675,                 2.1031,                 1.3902,                 1.6456,                0.42292,                  0.375,                0.40926,                0.19551,                0.42292,                  0.375,                0.40926,                0.20476,                 1.9956,                 2.6438,                 2.1086,                 2.3806,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.4307,                 2.2409,                 1.4637,                 1.6883,                0.41865,                  0.375,                0.37275,                0.17676,                0.41865,                  0.375,                0.38535,                0.18549,                 2.0219,                  2.704,                 2.1318,                 2.4547,              0.0002774,              0.0002774,              0.0002774
                     90,                  1.458,                 2.3646,                 1.5243,                 1.6607,                0.39165,                    0.5,                 0.3867,                0.18827,                0.49292,                    0.5,                0.40144,                0.18609,                 1.9771,                 2.6622,                 2.2713,                 2.4239,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.4617,                 2.1995,                 1.5864,                 1.8146,                0.35952,                    0.5,                0.38514,                0.18655,                0.49709,                0.49491,                0.40194,                0.18494,                 1.9587,                  2.696,                 2.1608,                 2.4213,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.4904,                 2.1338,                 1.5521,                 1.9181,                0.46731,                  0.375,                0.37508,                0.19093,                0.46731,                  0.375,                0.39404,                0.18595,                 1.9501,                  2.641,                 2.0949,                 2.3621,               0.000218,               0.000218,               0.000218
                     93,                 1.3879,                 2.0345,                 1.4092,                 1.7719,                0.47334,                  0.375,                0.37776,                 0.2056,                0.47334,                  0.375,                 0.3919,                0.19859,                 1.8673,                 2.5803,                  2.123,                 2.2641,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.4473,                 1.9961,                 1.4839,                 1.8356,                0.47825,                  0.375,                0.36199,                0.23056,                0.47825,                  0.375,                0.38045,                 0.2175,                 1.8113,                 2.5345,                 2.1818,                 2.1612,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.5062,                 2.0369,                 1.4851,                 1.9042,                0.45719,                  0.375,                 0.3499,                0.22069,                0.45719,                  0.375,                0.37682,                0.22301,                 1.8018,                 2.5481,                 2.2792,                 2.1332,              0.0001586,              0.0001586,              0.0001586
                     96,                  1.444,                 2.1166,                 1.4395,                 1.8579,                0.49989,                0.37486,                 0.3533,                0.21245,                0.49989,                0.37486,                0.37681,                  0.226,                 1.8253,                 2.5499,                 2.2969,                 2.1409,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.4699,                 2.1364,                 1.4943,                 1.9092,                0.39629,                    0.5,                0.34419,                0.21112,                0.39629,                    0.5,                0.35705,                0.21843,                 1.8528,                 2.5448,                 2.2102,                 2.1649,               0.000119,               0.000119,               0.000119
                     98,                 1.3956,                 1.9778,                 1.3836,                 1.7879,                0.42834,                  0.375,                0.37116,                0.21471,                0.42834,                  0.375,                0.37482,                0.21946,                  1.948,                 2.6012,                  2.283,                 2.2883,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.3188,                 2.0109,                 1.3526,                 1.7404,                0.43666,                0.48599,                0.37444,                0.21855,                0.43666,                0.48599,                0.37444,                0.22097,                 1.9367,                 2.6267,                 2.2095,                 2.3356,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.4284,                 2.0643,                 1.3852,                 1.8478,                0.44154,                    0.5,                0.37691,                 0.2176,                0.44154,                    0.5,                0.37691,                0.22146,                 1.9463,                 2.6322,                 2.1632,                 2.3654,               5.96e-05,               5.96e-05,               5.96e-05
